标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
宋PLUS DM 2025款 DM-i 112KM尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18063471,唐山,2025年 , 0.01万公里,0,15.58万,12.90万,宋PLUS DM 2025款 DM-i 112KM尊荣型,唐山,2025年2月,自动,15.58万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 101马力 L4 插电式混动,91,91,30-80,74(101Ps),126,5门5座SUV,1498,插电式混动 218马力,160
元UP 2024款 401KM超越型,比亚迪,https://www.dongchedi.com/usedcar/17494139,东莞,2024年 , 2.70万公里,0,11.98万,7.98万,元UP 2024款 401KM超越型,东莞,2024年10月,自动,11.98万,比亚迪,小型SUV,纯电动,纯电动 177马力,401,401,290,电动车单速变速箱,5门5座SUV,12.2,永磁/同步,磷酸铁锂电池,弗迪
理想L7 2023款 Pro版,理想汽车,https://www.dongchedi.com/usedcar/18266704,温州,2023年 , 2.20万公里,0,33.98万,24.30万,理想L7 2023款 Pro版,温州,2023年5月,自动,33.98万,理想汽车,中大型SUV,增程式,增程式 449马力,175,175,"●
400V",快充0.5小时 慢充6.5小时,330(449Ps),5门5座SUV,1496,增程式 449马力,330
问界M9 2024款 增程 Ultra 六座版,AITO,https://www.dongchedi.com/usedcar/18430059,上海,2024年 , 3万公里,1,52.98万,46.80万,问界M9 2024款 增程 Ultra 六座版,上海,2024年7月,自动,52.98万,赛力斯汽车,大型SUV,增程式,增程式 496马力,175,190,"●
400V",快充0.5小时 慢充5小时,365(496Ps),5门6座SUV,1499,增程式 496马力,365
嘉际 2021款 1.5T 自动 前驱 7座 原厂定制版,吉利汽车,https://www.dongchedi.com/usedcar/18362626,成都,2020年 , 4万公里,0,暂无报价,5.78万,嘉际 2021款 1.5T 自动 前驱 7座 原厂定制版,成都,2020年12月,自动,暂无报价,,插电式混合动力,,,,,,,,,,,
吉利几何G6 2024款 500KM 公务版,吉利几何,https://www.dongchedi.com/usedcar/18381659,深圳,2024年 , 7.10万公里,0,18.58万,7.88万,吉利几何G6 2024款 500KM 公务版,深圳,2024年4月,自动,18.58万,,纯电动,,500,500,150(204Ps),,165,,,永磁/同步,磷酸铁锂电池,首任车主终身质保(责任免除条款以官方为准)
雷达金刚 2025款 460km 四驱长箱 大力金刚,吉利汽车,https://www.dongchedi.com/usedcar/18330171,北京,未上牌 , 0.01万公里,-1,14.18万,14.18万,雷达金刚 2025款 460km 四驱长箱 大力金刚,北京,未上牌,自动,14.18万,雷达汽车,中型皮卡,纯电动,,460,460,485,电动车单速变速箱,4门5座皮卡,,永磁/同步,磷酸铁锂电池,孚能科技
哪吒S 2022款 纯电 715后驱激光雷达版,哪吒汽车,https://www.dongchedi.com/usedcar/17835601,上海,2022年 , 0.82万公里,0,32.28万,9.99万,哪吒S 2022款 纯电 715后驱激光雷达版,上海,2022年10月,自动,32.28万,合众汽车,中大型车,纯电动,纯电动 231马力,715,715,310,电动车单速变速箱,4门5座三厢车,1.53,永磁/同步,三元锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
微蓝6 2019款 互联智享型,别克,https://www.dongchedi.com/usedcar/11249617,西安,2020年 , 3.45万公里,1,21.38万,5.09万,微蓝6 2019款 互联智享型,西安,2020年4月,自动,21.38万,上汽通用别克,紧凑型车,纯电动,纯电动 116马力,301,快充0.67小时 慢充6小时,电动车单速变速箱,4650x1817x1510,150,578.0元,永磁/同步,三元锂电池,35
荣威ERX5 2017款 ERX5 EV400 电动互联至尊版,荣威,https://www.dongchedi.com/usedcar/17920688,北京,2019年 , 3.68万公里,1,29.68万,4.68万,荣威ERX5 2017款 ERX5 EV400 电动互联至尊版,北京,2019年1月,自动,29.68万,上汽集团,紧凑型SUV,纯电动,纯电动 116马力,320,快充0.67小时 慢充7小时,电动车单速变速箱,4554x1855x1716,135,825.0元,永磁/同步,三元锂电池,48.3
荣威ERX5 2017款 ERX5 EV400 电动互联至尊版,荣威,https://www.dongchedi.com/usedcar/18436138,北京,2019年 , 2.92万公里,1,29.68万,4.83万,荣威ERX5 2017款 ERX5 EV400 电动互联至尊版,北京,2019年1月,自动,29.68万,上汽集团,紧凑型SUV,纯电动,纯电动 116马力,320,快充0.67小时 慢充7小时,电动车单速变速箱,4554x1855x1716,135,825.0元,永磁/同步,三元锂电池,48.3
奔奔EV 2017款 纯电动 210公里豪华型,长安,https://www.dongchedi.com/usedcar/18401528,重庆,2019年 , 6.29万公里,0,17.18万,2.08万,奔奔EV 2017款 纯电动 210公里豪华型,重庆,2019年3月,自动,17.18万,长安汽车,微型车,纯电动,纯电动 75马力,210,快充0.75小时 慢充9小时,电动车单速变速箱,3730x1650x1530,125,168.0元,永磁/同步,三元锂电池,27.5
奔驰EQS 2022款 EQS 450+ 先锋版,奔驰,https://www.dongchedi.com/usedcar/18278329,成都,2022年 , 3.80万公里,1,107.96万,31.80万,奔驰EQS 2022款 EQS 450+ 先锋版,成都,2022年5月,自动,107.96万,梅赛德斯-EQ,大型车,纯电动,纯电动 333马力,849,快充0.62小时 慢充16小时,电动车单速变速箱,5227x1926x1513,200,,永磁/同步,三元锂电池,10年或25万公里
奔驰EQS 2022款 EQS 450+ 先锋版,奔驰,https://www.dongchedi.com/usedcar/17913662,福州,2022年 , 2.30万公里,0,107.96万,32.80万,奔驰EQS 2022款 EQS 450+ 先锋版,福州,2022年8月,自动,107.96万,梅赛德斯-EQ,大型车,纯电动,纯电动 333马力,849,快充0.62小时 慢充16小时,电动车单速变速箱,5227x1926x1513,200,,永磁/同步,三元锂电池,10年或25万公里
奥迪e-tron(进口) 2019款 55 quattro 全球限量版 Edition 1,奥迪,https://www.dongchedi.com/usedcar/18485983,沈阳,2021年 , 6万公里,1,82.86万,18.80万,奥迪e-tron(进口) 2019款 55 quattro 全球限量版 Edition 1,沈阳,2021年1月,自动,82.86万,奥迪(进口),中大型SUV,纯电动,纯电动 408马力,470,快充0.67小时 慢充8.5小时,2挡自动,4901x1935x1628,200,,交流/异步,三元锂电池,95
雷克萨斯UX EV 2020款 300e 纯·享,雷克萨斯,https://www.dongchedi.com/usedcar/18484058,西安,2020年 , 3.74万公里,1,38.50万,10.29万,雷克萨斯UX EV 2020款 300e 纯·享,西安,2020年11月,自动,38.5万,雷克萨斯,紧凑型SUV,纯电动,纯电动 204马力,400,快充0.83小时 慢充6.5小时,电动车单速变速箱,4495x1840x1545,160,6年或15万公里,永磁/同步,三元锂电池,54.35
高合HiPhi X 2021款 旗舰版 4座,高合,https://www.dongchedi.com/usedcar/18434161,杭州,2022年 , 0.68万公里,0,80.00万,24.68万,高合HiPhi X 2021款 旗舰版 4座,杭州,2022年4月,自动,80万,华人运通,中大型SUV,纯电动,纯电动 598马力,560,550,440(598Ps),820,5200x2062x1618,17.8,永磁/同步,三元锂电池,8年或24万公里
岚图FREE 2021款 四驱标准纯电专属豪华套装,岚图,https://www.dongchedi.com/usedcar/17986790,武汉,2022年 / 1.70万公里,2022年 / 1.70万公里,1,37.36万,13.19万,,,,,80万,华人运通,中大型SUV,纯电动,纯电动 598马力,560,550,440(598Ps),820,5200x2062x1618,17.8,永磁/同步,三元锂电池,8年或24万公里
奔驰EQC 2021款 EQC 400 4MATIC,奔驰,https://www.dongchedi.com/usedcar/18300753,上海,2021年 , 2.60万公里,1,57.98万,15.90万,奔驰EQC 2021款 EQC 400 4MATIC,上海,2021年11月,自动,57.98万,北京奔驰,中型SUV,纯电动,纯电动 408马力,415,快充0.75小时 慢充12小时,电动车单速变速箱,4774x1923x1622,180,,交流/异步,三元锂电池,8年或16万公里
奔驰EQS 2022款 EQS 450+ 先锋版,奔驰,https://www.dongchedi.com/usedcar/18264126,深圳,2022年 , 1.60万公里,0,107.96万,33.98万,奔驰EQS 2022款 EQS 450+ 先锋版,深圳,2022年3月,自动,107.96万,梅赛德斯-EQ,大型车,纯电动,纯电动 333马力,849,快充0.62小时 慢充16小时,电动车单速变速箱,5227x1926x1513,200,,永磁/同步,三元锂电池,10年或25万公里
奔驰EQC 2022款 改款 EQC 350 4MATIC 特别版,奔驰,https://www.dongchedi.com/usedcar/18424265,重庆,2022年 , 2.01万公里,1,50.19万,15.98万,奔驰EQC 2022款 改款 EQC 350 4MATIC 特别版,重庆,2022年6月,自动,50.19万,北京奔驰,中型SUV,纯电动,纯电动 286马力,440,快充0.75小时 慢充12小时,电动车单速变速箱,4774x1890x1622,180,3年不限公里,交流/异步,三元锂电池,8年或16万公里
蔚来EC6 2022款 475KM 性能版,蔚来,https://www.dongchedi.com/usedcar/18326886,芜湖,2022年 , 3.70万公里,1,43.60万,13.88万,蔚来EC6 2022款 475KM 性能版,芜湖,2022年7月,自动,43.6万,蔚来,中型SUV,纯电动,纯电动 544马力,475,快充0.6小时 慢充11.5小时,电动车单速变速箱,4850x1965x1714,200,3年或12万公里,前永磁/同步后交流/异步,磷酸铁锂电池+三元锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
唐DM 2017款 DM 2.0T 唐100,比亚迪,https://www.dongchedi.com/usedcar/18325580,广州,2018年 , 10.85万公里,1,29.99万,4.60万,唐DM 2017款 DM 2.0T 唐100,广州,2018年5月,自动,29.99万,比亚迪,中型SUV,插电式混合动力,2.0T 205马力 L4 插电式混动,100,慢充6.9小时,5门7座SUV,180,1.8,,1999,插电式混动 299马力,220
赛力斯SF5 2020款 四驱高性能版,SERES赛力斯,https://www.dongchedi.com/usedcar/18274904,广州,2020年 , 5万公里,0,33.90万,7.98万,赛力斯SF5 2020款 四驱高性能版,广州,2020年5月,自动,33.9万,赛力斯汽车,中型SUV,增程式,增程式 694马力,150,快充0.75小时 慢充6小时,电动车单速变速箱,4700x1930x1625,230,5498.0元,1498,增程式 694马力,510
荣威e550 2016款 尊享版,荣威,https://www.dongchedi.com/usedcar/17546133,深圳,2016年 , 1.80万公里,0,23.98万,2.66万,,,,,33.9万,赛力斯汽车,中型SUV,增程式,增程式 694马力,150,快充0.75小时 慢充6小时,电动车单速变速箱,4700x1930x1625,230,5498.0元,1498,增程式 694马力,510
传祺GS4 PHEV 2017款 1.5L 智享版,广汽传祺,https://www.dongchedi.com/usedcar/17110949,广州,2018年 , 10.80万公里,0,20.98万,3.18万,传祺GS4 PHEV 2017款 1.5L 智享版,广州,2018年8月,自动,20.98万,广汽传祺,紧凑型SUV,插电式混合动力,1.5L 97马力 L4 插电式混动,58,,5门5座SUV,180,1.8,,1495,插电式混动 177马力,130
宝骏E200 2018款 智行版,宝骏,https://www.dongchedi.com/usedcar/18416946,柳州,2019年 , 5.30万公里,0,10.80万,1.68万,,,,,20.98万,广汽传祺,紧凑型SUV,插电式混合动力,1.5L 97马力 L4 插电式混动,58,,5门5座SUV,180,1.8,,1495,插电式混动 177马力,130
奔驰EQS 2022款 EQS 450+ 先锋版,奔驰,https://www.dongchedi.com/usedcar/18161043,南京,2022年 , 3.72万公里,1,107.96万,34.68万,奔驰EQS 2022款 EQS 450+ 先锋版,南京,2022年6月,自动,107.96万,梅赛德斯-EQ,大型车,纯电动,纯电动 333马力,849,快充0.62小时 慢充16小时,电动车单速变速箱,5227x1926x1513,200,,永磁/同步,三元锂电池,10年或25万公里
奔驰EQC 2021款 EQC 350 4MATIC,奔驰,https://www.dongchedi.com/usedcar/17809523,上海,2021年 , 2.30万公里,1,49.98万,13.96万,奔驰EQC 2021款 EQC 350 4MATIC,上海,2021年9月,自动,49.98万,北京奔驰,中型SUV,纯电动,纯电动 286马力,415,快充0.75小时 慢充12小时,电动车单速变速箱,4774x1890x1622,180,3335.0元,交流/异步,三元锂电池,8年或16万公里
北汽新能源EX 2016款 EX200 乐酷版,北汽新能源,https://www.dongchedi.com/usedcar/16568209,北京,2016年 , 0.90万公里,0,21.69万,2.50万,北汽新能源EX 2016款 EX200 乐酷版,北京,2016年12月,自动,21.69万,北汽新能源,小型SUV,纯电动,纯电动 72马力,200,快充1小时,电动车单速变速箱,4110x1750x1583,125,670.0元,永磁/同步,三元锂电池,30.4
Model S 2014款 P85,特斯拉,https://www.dongchedi.com/usedcar/16910956,青岛,2020年 , 3万公里,0,85.25万,16.99万,Model S 2014款 P85,青岛,2020年1月,自动,85.25万,特斯拉(进口),中大型车,纯电动,纯电动 422马力,502,,电动车单速变速箱,4970x1964x1445,210,1641.0元,交流/异步,,85
广汽丰田ix4 2018款 领先版,广汽集团,https://www.dongchedi.com/usedcar/16867548,东莞,2019年 , 9.50万公里,1,21.48万,3.38万,广汽丰田ix4 2018款 领先版,东莞,2019年1月,自动,21.48万,广汽丰田,紧凑型SUV,纯电动,纯电动 180马力,270,快充0.5小时 慢充8小时,电动车单速变速箱,4525x1852x1685,156,,永磁/同步,三元锂电池,
沃尔沃S90 PHEV 2019款 T8 E驱混动 荣誉版 3座 国V,沃尔沃,https://www.dongchedi.com/usedcar/18485884,上海,2020年 , 1.60万公里,2,104.39万,29.80万,,,,,21.48万,广汽丰田,紧凑型SUV,纯电动,纯电动 180马力,270,快充0.5小时 慢充8小时,电动车单速变速箱,4525x1852x1685,156,,永磁/同步,三元锂电池,
宋DM 2017款 1.5TID 全时四驱尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18350727,中山,2018年 , 6万公里,0,24.59万,3.98万,宋DM 2017款 1.5TID 全时四驱尊荣型,中山,2018年8月,自动,24.59万,比亚迪,紧凑型SUV,插电式混合动力,1.5T 154马力 L4 插电式混动,80,慢充5.6小时,6挡双离合,4565x1870x1700,180,12948.0元,1497,插电式混动 299马力,220
宋DM 2017款 1.5TID 全时四驱尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18259851,佛山,2018年 , 4.06万公里,0,24.59万,3.98万,宋DM 2017款 1.5TID 全时四驱尊荣型,佛山,2018年4月,自动,24.59万,比亚迪,紧凑型SUV,插电式混合动力,1.5T 154马力 L4 插电式混动,80,慢充5.6小时,6挡双离合,4565x1870x1700,180,12948.0元,1497,插电式混动 299马力,220
秦DM 2017款 1.5T 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18127248,深圳,2018年 , 10万公里,0,18.59万,2.98万,秦DM 2017款 1.5T 尊贵型,深圳,2018年10月,自动,18.59万,比亚迪,紧凑型车,插电式混合动力,1.5T 154马力 L4 插电式混动,80,,6挡双离合,4740x1770x1480,185,6年或15万公里,1497,插电式混动 150马力,110
秦DM 2017款 1.5T 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/11454980,重庆,2018年 , 7.98万公里,0,18.59万,2.98万,秦DM 2017款 1.5T 尊贵型,重庆,2018年3月,自动,18.59万,比亚迪,紧凑型车,插电式混合动力,1.5T 154马力 L4 插电式混动,80,,6挡双离合,4740x1770x1480,185,6年或15万公里,1497,插电式混动 150马力,110
轩逸·纯电 2019款 智尊版,日产,https://www.dongchedi.com/usedcar/18461783,东莞,2019年 , 8.05万公里,1,25.40万,4.18万,轩逸·纯电 2019款 智尊版,东莞,2019年6月,自动,25.4万,东风日产,紧凑型车,纯电动,纯电动 109马力,338,快充0.75小时 慢充8小时,电动车单速变速箱,4677x1760x1522,144,,永磁/同步,三元锂电池,38
唐DM 2017款 DM 2.0T 全时四驱豪雅型,比亚迪,https://www.dongchedi.com/usedcar/18396710,广州,2018年 , 11.62万公里,0,27.99万,4.60万,唐DM 2017款 DM 2.0T 全时四驱豪雅型,广州,2018年4月,自动,27.99万,比亚迪,中型SUV,插电式混合动力,2.0T 205马力 L4 插电式混动,80,慢充5.5小时,5门5座SUV,180,2,,1999,插电式混动 299马力,220
瑞驰EC35 2021款 EC35 III 标准版 38.64kWh,瑞驰,https://www.dongchedi.com/usedcar/18372957,潍坊,2022年 , 1万公里,1,13.38万,4.38万,瑞驰EC35 2021款 EC35 III 标准版 38.64kWh,潍坊,2022年9月,自动,13.38万,瑞驰汽车,微面,纯电动,纯电动 82马力,275,,电动车单速变速箱,4500x1680x1985,80,,永磁/同步,磷酸铁锂电池,38.64
岚图FREE 2021款 四驱标准纯电专属豪华套装,岚图,https://www.dongchedi.com/usedcar/18500749,郑州,2022年 , 3.10万公里,1,37.36万,12.38万,岚图FREE 2021款 四驱标准纯电专属豪华套装,郑州,2022年5月,自动,37.36万,岚图汽车,中大型SUV,纯电动,纯电动 694马力,475,快充0.75小时 慢充8.5小时,电动车单速变速箱,4905x1950x1645,200,5年或10万公里,交流/异步,三元锂电池,8年或12万公里
宝马X1 PHEV 2020款 xDrive30Le 尊享型,宝马,https://www.dongchedi.com/usedcar/18486538,昆明,2020年 , 7.90万公里,0,39.98万,9.98万,,,,,37.36万,岚图汽车,中大型SUV,纯电动,纯电动 694马力,475,快充0.75小时 慢充8.5小时,电动车单速变速箱,4905x1950x1645,200,5年或10万公里,交流/异步,三元锂电池,8年或12万公里
宝马iX 2022款 xDrive40,宝马,https://www.dongchedi.com/usedcar/18465205,沈阳,2022年 , 1.80万公里,0,74.69万,27.90万,宝马iX 2022款 xDrive40,沈阳,2022年11月,自动,74.69万,宝马(进口),中大型SUV,纯电动,纯电动 326马力,455,455,630,电动车单速变速箱,5门5座SUV,2.04,励磁/同步,三元锂电池,8年或16万公里
岚图FREE 2021款 四驱标准增程专属豪华套装,岚图,https://www.dongchedi.com/usedcar/18441319,武汉,2022年 / 1.69万公里,2022年 / 1.69万公里,2,33.36万,12.39万,岚图FREE 2021款 四驱标准增程专属豪华套装,武汉,2022年7月,自动,33.36万,岚图汽车,中大型SUV,增程式,增程式 694马力,140,860,1040,电动车单速变速箱,5门5座SUV,20.2,1498,增程式 694马力,510
唐DM 2015款 DM 2.0T 四驱旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18409395,合肥,2016年 , 15.35万公里,1,27.98万,2.36万,,,,,33.36万,岚图汽车,中大型SUV,增程式,增程式 694马力,140,860,1040,电动车单速变速箱,5门5座SUV,20.2,1498,增程式 694马力,510
红旗E-QM5 2023款 改款 基础出行版,红旗,https://www.dongchedi.com/usedcar/18489323,合肥,2023年 / 0.15万公里,2023年 / 0.15万公里,0,23.98万,7.98万,红旗E-QM5 2023款 改款 基础出行版,合肥,2023年11月,自动,23.98万,一汽红旗,中型车,纯电动,纯电动 136马力,431,431,100(136Ps),260,5040x1910x1569,13.5,永磁/同步,磷酸铁锂电池,5年或50万公里
奔腾B30 EV 2019款 EV400,奔腾,https://www.dongchedi.com/usedcar/18461952,郑州,2019年 , 1.70万公里,0,18.98万,3.98万,奔腾B30 EV 2019款 EV400,郑州,2019年10月,自动,18.98万,一汽奔腾,紧凑型车,纯电动,纯电动 122马力,402,,电动车单速变速箱,4632x1790x1500,130,,永磁/同步,未知,51.06
腾势X PHEV 2020款 2.0T 运动版,腾势,https://www.dongchedi.com/usedcar/18433911,深圳,2020年 , 3.60万公里,0,30.68万,8.98万,,,,,18.98万,一汽奔腾,紧凑型车,纯电动,纯电动 122马力,402,,电动车单速变速箱,4632x1790x1500,130,,永磁/同步,未知,51.06
艾瑞泽7e 2016款 1.6L e致尚版,奇瑞新能源,https://www.dongchedi.com/usedcar/17377582,惠州,2016年 , 5.62万公里,5,17.99万,2.28万,艾瑞泽7e 2016款 1.6L e致尚版,惠州,2016年12月,自动,17.99万,奇瑞新能源,紧凑型车,插电式混合动力,1.6L 126马力 L4 插电式混动,50,,4门5座三厢车,180,17,,1598,插电式混动 34马力,25
奔驰EQC 2021款 EQC 400 4MATIC,奔驰,https://www.dongchedi.com/usedcar/18461308,长沙,2021年 , 5万公里,0,57.98万,14.80万,,,,,17.99万,奇瑞新能源,紧凑型车,插电式混合动力,1.6L 126马力 L4 插电式混动,50,,4门5座三厢车,180,17,,1598,插电式混动 34马力,25
